image,A,B,C,D,label
ISIC_0009975,0.19,1.24,0.43,0.66,1
ISIC_0014392,0.15,1.18,0.3,0.66,2
ISIC_0013559,0.15,1.94,0.15,0.66,1
ISIC_0011317,0.19,1.82,0.19,0.63,1
ISIC_0013917,0.23,36.2,0.11,0.66,0
ISIC_0006021,0.22,1.34,0.11,0.74,1
ISIC_0014077,0.11,1.19,0.18,0.74,0
ISIC_0000546,0.15,2.81,0.18,0.68,1
ISIC_0013800,0.13,1.87,0.16,0.67,1
ISIC_0015955,0.21,1.22,0.1,0.65,1
ISIC_0000074,0.41,2.14,0.34,0.8,0
ISIC_0010358,0.05,1.21,0.31,0.69,0
ISIC_0010554,0.5,3.94,0.17,0.72,1
ISIC_0015283,0.19,33.62,0.3,0.71,1
ISIC_0001134,0.17,1.34,0.33,0.7,0
ISIC_0011166,0.37,4.69,0.18,0.6,0
ISIC_0014574,0.28,12.5,0.07,0.65,2
ISIC_0012475,0.37,1.39,0.12,0.62,2
ISIC_0015043,0.09,1.72,0.31,0.65,1
ISIC_0012835,0.13,1.65,0.24,0.69,1
ISIC_0013969,0.17,1.85,0.07,0.74,0
ISIC_0012986,0.13,1.18,0.15,0.63,2
ISIC_0013082,0.11,1.61,0.17,0.65,1
ISIC_0002948,0.21,4.81,0.13,0.67,1
ISIC_0015976,0.25,9.06,0.25,0.63,1
ISIC_0013709,0.13,1.28,0.13,0.69,2
ISIC_0014422,0.26,2.69,0.07,0.73,0
ISIC_0010205,0.11,1.81,0.37,0.61,1
ISIC_0010337,0.24,1.23,0.25,0.58,1
ISIC_0013861,0.45,1.46,0.12,0.72,0
ISIC_0012871,0.09,1.2,0.09,0.65,1
ISIC_0009885,0.24,2.01,0.32,0.6,1
ISIC_0000141,0.2,10.41,0.27,0.75,0
ISIC_0012547,0.21,1.69,0.14,0.62,1
ISIC_0015994,0.19,3.26,0.21,0.64,1
ISIC_0014092,0.17,1.71,0.16,0.66,0
ISIC_0014325,0.31,2.01,0.1,0.65,0
ISIC_0012248,0.07,1.23,0.09,0.75,2
ISIC_0000274,0.18,1.27,0.37,0.71,1
ISIC_0000277,0.09,1.17,0.27,0.64,0
ISIC_0008145,0.18,2.42,0.09,0.72,1
ISIC_0012902,0.19,1.23,0.08,0.61,2
ISIC_0001142,0.22,1.49,0.16,0.71,0
ISIC_0009188,0.1,1.24,0.07,0.65,1
ISIC_0013120,0.15,1.21,0.05,0.7,1
ISIC_0013025,0.16,1.56,0.21,0.65,1
ISIC_0014848,0.14,1.83,0.4,0.61,1
ISIC_0010104,0.31,3.09,0.24,0.65,1
ISIC_0011083,0.17,1.88,0.29,0.61,1
ISIC_0000530,0.19,1.27,0.24,0.63,1
ISIC_0010175,0.15,1.23,0.34,0.77,0
ISIC_0014238,0.13,1.64,0.08,0.65,0
ISIC_0012657,0.11,1.76,0.19,0.59,1
ISIC_0014013,0.14,1.8,0.17,0.64,0
ISIC_0014770,0.09,1.6,0.28,0.67,2
ISIC_0009961,0.08,1.3,0.14,0.73,1
ISIC_0014580,0.26,1.57,0.16,0.81,2
ISIC_0012550,0.2,1.94,0.13,0.68,1
ISIC_0016025,0.31,1.34,0.26,0.66,1
ISIC_0000154,0.15,2.16,0.17,0.64,0
ISIC_0008524,0.41,1.68,0.09,0.75,1
ISIC_0010382,0.17,1.21,0.15,0.79,1
ISIC_0000132,0.14,1.18,0.19,0.68,1
ISIC_0010596,0.25,1.41,0.25,0.66,0
ISIC_0012213,0.17,1.6,0.19,0.73,1
ISIC_0014697,0.12,1.19,0.29,0.63,1
ISIC_0013792,0.08,1.53,0.13,0.6,1
ISIC_0013844,0.31,1.95,0.14,0.63,0
ISIC_0000011,0.21,1.93,0.19,0.63,1
ISIC_0013355,0.19,1.67,0.12,0.69,1
ISIC_0015284,0.17,1.31,0.35,0.63,0
ISIC_0000100,0.12,1.18,0.37,0.66,1
ISIC_0000295,0.21,1.42,0.2,0.75,0
ISIC_0010019,0.18,3.63,0.22,0.71,1
ISIC_0013908,0.2,1.28,0.15,0.66,0
ISIC_0010321,0.28,1.32,0.18,0.66,0
ISIC_0014835,0.18,1.24,0.33,0.65,1
ISIC_0012086,0.13,1.18,0.09,0.7,2
ISIC_0014812,0.11,1.8,0.29,0.7,1
ISIC_0013636,0.13,1.19,0.15,0.67,0
ISIC_0015160,0.17,24.68,0.2,0.65,1
ISIC_0015190,0.31,2.12,0.24,0.65,0
ISIC_0015950,0.24,7.88,0.13,0.63,1
ISIC_0000105,0.25,15.45,0.25,0.71,1
ISIC_0013736,0.15,1.76,0.08,0.65,0
ISIC_0014546,0.08,1.16,0.06,0.7,0
ISIC_0000152,0.11,2.57,0.24,0.63,0
ISIC_0012102,0.07,1.65,0.09,0.73,1
ISIC_0014393,0.09,1.14,0.07,0.62,2
ISIC_0012551,0.17,10.68,0.14,0.57,1
ISIC_0010858,0.1,1.15,0.11,0.67,1
ISIC_0009873,0.23,4.05,0.11,0.77,1
ISIC_0015960,0.16,1.18,0.22,0.66,1
ISIC_0012741,0.11,1.59,0.18,0.65,1
ISIC_0014632,0.23,1.66,0.04,0.7,2
ISIC_0014623,0.13,2.08,0.19,0.7,2
ISIC_0015967,0.07,1.16,0.17,0.64,1
ISIC_0000115,0.16,1.31,0.3,0.73,1
ISIC_0014599,0.27,1.98,0.26,0.63,2
ISIC_0015064,0.17,39.09,0.22,0.76,1
ISIC_0012187,0.19,1.8,0.15,0.68,1
ISIC_0012097,0.13,1.7,0.26,0.7,1
ISIC_0015481,0.5,26.1,0.26,0.65,1
ISIC_0012179,0.61,6.65,0.15,0.67,1
ISIC_0010070,0.16,1.22,0.45,0.72,1
ISIC_0008256,0.11,1.62,0.15,0.78,1
ISIC_0002476,0.1,1.88,0.11,0.73,1
ISIC_0014423,0.16,1.15,0.1,0.64,0
ISIC_0013118,0.26,1.9,0.2,0.65,1
ISIC_0016056,0.27,10.46,0.1,0.68,1
ISIC_0012685,0.17,1.63,0.21,0.66,1
ISIC_0005548,0.23,3.52,0.16,0.69,1
ISIC_0010016,0.27,1.33,0.34,0.67,0
ISIC_0014846,0.14,1.75,0.32,0.68,1
ISIC_0010241,0.19,2.13,0.12,0.61,0
ISIC_0000348,0.3,1.43,0.38,0.62,1
ISIC_0009201,0.19,1.23,0.1,0.65,1
ISIC_0013039,0.17,1.67,0.2,0.65,1
ISIC_0014962,0.15,1.24,0.4,0.72,1
ISIC_0014336,0.13,1.15,0.09,0.64,0
ISIC_0013216,0.16,7.93,0.11,0.63,1
ISIC_0009982,0.17,1.23,0.25,0.68,1
ISIC_0014923,0.12,1.71,0.3,0.64,1
ISIC_0000206,0.27,4.89,0.41,0.66,1
ISIC_0000149,0.07,1.15,0.25,0.65,0
ISIC_0015631,0.14,22.13,0.27,0.72,1
ISIC_0012987,0.23,1.99,0.1,0.73,1
ISIC_0009991,0.34,2.05,0.27,0.67,1
ISIC_0014680,0.18,2.02,0.17,0.65,1
ISIC_0013024,0.12,1.16,0.15,0.59,1
ISIC_0010599,0.31,3.13,0.15,0.6,1
ISIC_0001103,0.3,37.56,0.24,0.62,0
ISIC_0010078,0.23,1.24,0.37,0.69,1
ISIC_0010443,0.11,2.84,0.25,0.66,1
ISIC_0009874,0.14,1.37,0.4,0.77,1
ISIC_0005187,0.24,19.45,0.14,0.64,1
ISIC_0014541,0.07,1.2,0.12,0.66,0
ISIC_0000388,0.06,1.14,0.16,0.62,1
ISIC_0012957,0.09,1.16,0.09,0.66,1
ISIC_0000421,0.18,6.42,0.23,0.56,1
ISIC_0014940,0.18,32.33,0.25,0.6,1
ISIC_0000162,0.2,1.3,0.26,0.64,0
ISIC_0000260,0.2,2.71,0.17,0.62,1
ISIC_0009083,0.16,1.36,0.07,0.76,1
ISIC_0013888,0.11,1.75,0.13,0.68,1
ISIC_0013980,0.24,1.71,0.14,0.69,2
ISIC_0009901,0.21,3.43,0.21,0.62,1
ISIC_0013072,0.14,1.17,0.14,0.63,0
ISIC_0000109,0.35,6.12,0.21,0.63,1
ISIC_0000038,0.19,2.34,0.38,0.74,1
ISIC_0012415,0.07,1.18,0.2,0.67,2
ISIC_0000165,0.35,3.41,0.38,0.71,0
ISIC_0014596,0.25,1.8,0.11,0.7,2
ISIC_0009977,0.09,1.22,0.23,0.68,1
ISIC_0000221,0.09,1.18,0.39,0.64,1
ISIC_0014927,0.11,46.12,0.24,0.69,1
ISIC_0016024,0.28,1.46,0.13,0.65,1
ISIC_0012719,0.21,2.08,0.12,0.61,2
ISIC_0009758,0.14,1.21,0.08,0.67,1
ISIC_0015483,0.1,1.73,0.28,0.66,1
ISIC_0008913,0.11,1.18,0.11,0.65,1
ISIC_0014431,0.14,1.58,0.17,0.68,1
ISIC_0010219,0.08,1.17,0.12,0.64,1
ISIC_0012956,0.14,1.58,0.18,0.68,1
ISIC_0011306,0.36,2.39,0.17,0.74,1
ISIC_0015313,0.1,1.72,0.32,0.74,1
ISIC_0014219,0.27,1.31,0.1,0.69,0
ISIC_0014308,0.23,1.82,0.09,0.61,0
ISIC_0014849,0.28,2.18,0.26,0.6,1
ISIC_0010342,0.19,1.33,0.32,0.74,1
ISIC_0002353,0.22,1.2,0.14,0.62,1
ISIC_0009944,0.06,1.26,0.29,0.73,1
ISIC_0000137,0.27,2.08,0.2,0.71,1
ISIC_0002093,0.16,3.38,0.12,0.8,1
ISIC_0012756,0.12,1.72,0.14,0.67,0
ISIC_0013204,0.25,3.5,0.16,0.68,1
ISIC_0016059,0.22,9.35,0.1,0.66,1
ISIC_0011223,0.15,1.84,0.19,0.66,1
ISIC_0003539,0.23,1.41,0.23,0.74,1
ISIC_0001213,0.24,1.83,0.16,0.68,1
ISIC_0014932,0.27,157.56,0.42,0.77,0
ISIC_0014831,0.14,2.09,0.27,0.73,2
ISIC_0013596,0.2,1.32,0.18,0.68,1
ISIC_0011123,0.24,2.85,0.22,0.61,1
ISIC_0013984,0.13,1.65,0.17,0.67,0
ISIC_0010574,0.16,1.34,0.19,0.74,1
ISIC_0012330,0.09,1.19,0.19,0.7,2
ISIC_0013198,0.35,1.63,0.17,0.65,0
ISIC_0010565,0.08,1.16,0.1,0.66,1
ISIC_0001852,0.17,1.57,0.23,0.7,1
ISIC_0015617,0.09,1.27,0.27,0.8,1
ISIC_0016057,0.33,9.14,0.15,0.69,1
ISIC_0014144,0.23,1.79,0.1,0.65,0
ISIC_0014696,0.11,1.78,0.26,0.69,1
ISIC_0012360,0.27,2.03,0.19,0.72,1
ISIC_0009978,0.16,1.16,0.22,0.68,1
ISIC_0014796,0.13,15.21,0.25,0.69,1
ISIC_0015395,0.14,22.86,0.22,0.61,1
ISIC_0015089,0.31,1.22,0.41,0.69,1
ISIC_0000415,0.54,14.48,0.18,0.84,0
ISIC_0001374,0.12,1.26,0.11,0.62,1
ISIC_0015125,0.1,27.66,0.45,0.66,1
ISIC_0011079,0.22,3.28,0.24,0.81,1
ISIC_0013073,0.29,1.25,0.14,0.79,0
ISIC_0012744,0.18,1.55,0.14,0.67,1
ISIC_0012907,0.15,1.76,0.14,0.63,1
ISIC_0011139,0.17,1.38,0.13,0.81,0
ISIC_0013758,0.14,1.28,0.11,0.74,1
ISIC_0012473,0.37,1.46,0.05,0.68,2
ISIC_0000275,0.1,1.29,0.24,0.72,1
ISIC_0012792,0.16,1.86,0.29,0.7,2
ISIC_0013220,0.25,1.8,0.15,0.67,1
ISIC_0014470,0.2,1.77,0.05,0.64,1
ISIC_0016048,0.21,8.41,0.09,0.65,1
ISIC_0012887,0.25,1.78,0.25,0.65,0
ISIC_0011177,0.13,4.08,0.22,0.63,1
ISIC_0012523,0.36,7.0,0.07,0.72,1
ISIC_0012777,0.13,1.62,0.25,0.63,1
ISIC_0009969,0.2,3.92,0.27,0.61,1
ISIC_0015355,0.18,13.52,0.27,0.76,1
ISIC_0015124,0.15,1.95,0.36,0.68,0
ISIC_0000065,0.16,2.88,0.19,0.77,1
ISIC_0015171,0.26,35.77,0.17,0.92,1
ISIC_0000032,0.13,1.31,0.16,0.65,1
ISIC_0000019,0.15,1.39,0.28,0.64,1
ISIC_0015229,0.49,1.3,0.28,0.97,0
ISIC_0016011,0.36,11.3,0.08,0.7,1
ISIC_0013319,0.24,10.9,0.15,0.67,2
ISIC_0000205,0.08,1.2,0.34,0.73,1
ISIC_0010320,0.2,1.28,0.2,0.77,1
ISIC_0010493,0.14,4.2,0.29,0.68,1
ISIC_0013310,0.14,1.14,0.22,0.64,1
ISIC_0015179,0.31,47.82,0.29,0.66,1
ISIC_0012447,0.1,1.16,0.08,0.65,2
ISIC_0013472,0.33,15.84,0.09,0.73,0
ISIC_0010348,0.28,1.32,0.22,0.64,1
ISIC_0014772,0.1,1.21,0.3,0.66,0
ISIC_0014585,0.24,1.76,0.14,0.63,2
ISIC_0013314,0.14,1.62,0.17,0.66,1
ISIC_0014786,0.05,1.2,0.31,0.69,1
ISIC_0002246,0.08,1.22,0.16,0.69,1
ISIC_0013071,0.13,1.63,0.04,0.63,1
ISIC_0009943,0.15,1.49,0.2,0.77,1
ISIC_0000028,0.13,3.72,0.29,0.7,1
ISIC_0002885,0.2,1.2,0.16,0.63,1
ISIC_0012227,0.11,1.17,0.07,0.63,2
ISIC_0000525,0.14,2.85,0.2,0.66,1
ISIC_0000513,0.17,1.32,0.2,0.67,0
ISIC_0010201,0.24,1.32,0.24,0.69,1
ISIC_0012127,0.2,1.27,0.18,0.68,1
ISIC_0000188,0.16,1.24,0.18,0.71,1
ISIC_0000036,0.21,1.37,0.36,0.65,0
ISIC_0014818,0.14,2.08,0.22,0.8,1
ISIC_0003005,0.24,1.41,0.15,0.72,1
ISIC_0010194,0.15,1.23,0.29,0.7,0
ISIC_0013141,0.09,1.15,0.23,0.63,0
ISIC_0012945,0.3,2.74,0.1,0.65,1
ISIC_0000416,0.26,4.67,0.24,0.7,1
ISIC_0000117,0.18,1.19,0.25,0.63,1
ISIC_0000135,0.13,2.5,0.34,0.59,1
ISIC_0012160,0.3,2.16,0.06,0.7,1
ISIC_0014640,0.16,1.8,0.16,0.71,2
ISIC_0013565,0.15,1.24,0.12,0.7,0
ISIC_0010849,0.1,1.25,0.1,0.71,1
ISIC_0015360,0.33,1.75,0.36,0.76,1
ISIC_0015936,0.2,12.91,0.1,0.74,1
ISIC_0000052,0.08,3.11,0.29,0.67,1
ISIC_0010851,0.27,5.57,0.33,0.69,1
ISIC_0000171,0.24,1.52,0.35,0.65,0
ISIC_0013819,0.19,1.98,0.11,0.65,1
ISIC_0014901,0.15,21.84,0.19,0.59,1
ISIC_0012981,0.26,8.54,0.17,0.66,1
ISIC_0014302,0.29,2.11,0.13,0.68,0
ISIC_0010476,0.23,4.81,0.14,0.69,0
ISIC_0015200,0.15,2.03,0.35,0.8,0
ISIC_0010090,0.2,1.77,0.16,0.61,1
ISIC_0000210,0.09,1.16,0.31,0.65,1
ISIC_0010252,0.42,1.3,0.18,0.92,1
ISIC_0010229,0.11,2.17,0.19,0.73,1
ISIC_0013434,0.16,6.73,0.1,0.69,1
ISIC_0003657,0.16,1.79,0.11,0.68,1
ISIC_0000048,0.2,2.92,0.31,0.68,1
ISIC_0010341,0.13,1.34,0.44,0.75,1
ISIC_0014782,0.08,1.7,0.23,0.71,1
ISIC_0010481,0.13,2.08,0.15,0.67,1
ISIC_0013325,0.07,1.16,0.14,0.63,1
ISIC_0015455,0.13,1.27,0.4,0.73,1
ISIC_0011324,0.17,3.0,0.18,0.72,1
ISIC_0014195,0.16,1.69,0.19,0.66,1
ISIC_0013167,0.09,1.74,0.22,0.73,2
ISIC_0012544,0.2,1.53,0.23,0.68,1
ISIC_0015418,0.09,1.32,0.44,0.74,1
ISIC_0015258,0.06,1.25,0.4,0.82,1
ISIC_0002469,0.12,2.89,0.15,0.63,1
ISIC_0002374,0.23,7.87,0.14,0.66,1
ISIC_0013983,0.2,1.86,0.16,0.72,1
ISIC_0010572,0.19,1.2,0.24,0.68,1
ISIC_0014131,0.08,1.21,0.16,0.68,1
ISIC_0016004,0.34,32.06,0.12,0.71,1
ISIC_0013798,0.26,1.77,0.18,0.65,1
ISIC_0015975,0.1,1.19,0.28,0.67,1
ISIC_0015401,0.23,1.89,0.35,0.65,1
ISIC_0000300,0.25,1.35,0.29,0.67,0
ISIC_0000279,0.14,3.28,0.23,0.7,0
ISIC_0000276,0.14,1.76,0.37,0.68,0
ISIC_0010590,0.11,1.87,0.23,0.64,1
ISIC_0011374,0.13,1.22,0.16,0.79,0
ISIC_0009297,0.16,1.15,0.16,0.65,1
ISIC_0014331,0.12,1.22,0.1,0.72,0
ISIC_0014952,0.11,1.19,0.53,0.65,1
ISIC_0006350,0.2,1.29,0.13,0.67,1
ISIC_0009800,0.08,1.16,0.22,0.65,1
ISIC_0015250,0.22,24.44,0.25,0.66,1
ISIC_0016069,0.1,5.57,0.18,0.64,1
ISIC_0009936,0.16,1.34,0.23,0.73,1
ISIC_0000045,0.09,2.3,0.34,0.64,1
ISIC_0013207,0.19,1.24,0.05,0.71,1
ISIC_0002976,0.16,4.5,0.14,0.69,1
ISIC_0011357,0.1,1.15,0.2,0.67,1
ISIC_0001216,0.11,1.21,0.07,0.66,1
ISIC_0011118,0.28,3.03,0.12,0.69,0
ISIC_0000063,0.18,5.49,0.4,0.7,1
ISIC_0000049,0.18,1.16,0.33,0.72,0
ISIC_0014938,0.36,45.18,0.34,0.74,1
ISIC_0000239,0.14,1.21,0.46,0.65,1
ISIC_0013918,0.13,1.64,0.07,0.68,2
ISIC_0013552,0.18,4.55,0.08,0.6,1
ISIC_0013271,0.34,10.51,0.15,0.64,2
ISIC_0013232,0.37,2.11,0.24,0.62,0
ISIC_0015044,0.25,1.84,0.21,0.61,2
ISIC_0013010,0.12,1.21,0.2,0.64,1
ISIC_0013492,0.21,1.78,0.24,0.66,1
ISIC_0012836,0.26,9.09,0.13,0.73,1
ISIC_0010361,0.11,1.15,0.22,0.62,1
ISIC_0013996,0.24,1.23,0.09,0.69,1
ISIC_0015216,0.2,1.25,0.31,0.8,1
ISIC_0010089,0.12,1.62,0.25,0.66,0
ISIC_0001212,0.13,1.21,0.05,0.63,1
ISIC_0000496,0.13,2.11,0.25,0.73,1
ISIC_0012206,0.25,1.88,0.18,0.61,1
ISIC_0012506,0.12,1.65,0.18,0.64,1
ISIC_0009965,0.36,1.33,0.16,0.65,1
ISIC_0000104,0.1,1.2,0.19,0.66,1
ISIC_0014187,0.16,1.31,0.12,0.69,0
ISIC_0012299,0.21,1.71,0.09,0.63,2
ISIC_0013398,0.31,7.91,0.17,0.69,1
ISIC_0010604,0.11,1.24,0.2,0.8,1
ISIC_0015295,0.11,1.74,0.25,0.83,2
ISIC_0000078,0.26,2.17,0.2,0.66,0
ISIC_0015312,0.14,26.09,0.26,0.64,1
ISIC_0012742,0.26,1.81,0.19,0.7,1
ISIC_0013935,0.22,5.3,0.11,0.62,1
ISIC_0010435,0.3,4.78,0.13,0.67,1
ISIC_0014149,0.09,1.19,0.07,0.7,1
ISIC_0010372,0.31,7.09,0.13,0.62,0
ISIC_0014633,0.18,1.63,0.13,0.69,2
ISIC_0002107,0.09,1.16,0.23,0.64,1
ISIC_0011212,0.19,1.36,0.26,0.83,1
ISIC_0013405,0.12,1.68,0.06,0.64,1
ISIC_0011387,0.25,2.63,0.18,0.76,0
ISIC_0015949,0.15,2.54,0.26,0.67,1
ISIC_0014094,0.19,3.31,0.23,0.65,1
ISIC_0001769,0.19,2.18,0.13,0.67,1
ISIC_0015040,0.19,1.2,0.28,0.67,1
ISIC_0014174,0.11,1.59,0.11,0.62,1
ISIC_0009252,0.22,2.91,0.24,0.67,1
ISIC_0014605,0.42,2.59,0.27,0.76,2
ISIC_0001140,0.15,2.59,0.37,0.63,0
ISIC_0008116,0.1,1.2,0.08,0.72,1
ISIC_0013474,0.4,19.84,0.12,0.63,2
ISIC_0003174,0.11,1.16,0.19,0.68,1
ISIC_0000395,0.1,1.19,0.16,0.7,0
ISIC_0013035,0.12,1.21,0.1,0.69,2
ISIC_0000259,0.22,1.16,0.13,0.91,1
ISIC_0000042,0.17,1.34,0.33,0.62,1
ISIC_0009960,0.26,2.02,0.3,0.67,0
ISIC_0010180,0.14,1.2,0.14,0.66,1
ISIC_0012478,0.2,1.68,0.08,0.63,2
ISIC_0013929,0.27,1.41,0.11,0.76,2
ISIC_0013054,0.26,1.8,0.24,0.63,2
ISIC_0013201,0.09,1.18,0.05,0.66,1
ISIC_0013921,0.25,1.88,0.14,0.74,1
ISIC_0011115,0.23,2.34,0.19,0.61,1
ISIC_0014784,0.26,14.71,0.19,0.79,0
ISIC_0013777,0.19,1.89,0.06,0.75,0
ISIC_0000494,0.17,1.29,0.17,0.6,1
ISIC_0000219,0.29,1.45,0.33,0.7,1
ISIC_0000064,0.17,2.56,0.24,0.62,1
ISIC_0015957,0.09,7.76,0.09,0.63,1
ISIC_0000542,0.17,3.44,0.18,0.8,1
ISIC_0014826,0.09,1.16,0.35,0.65,0
ISIC_0014805,0.22,1.79,0.26,0.69,1
ISIC_0010356,0.1,1.17,0.23,0.64,1
ISIC_0014158,0.11,4.23,0.13,0.64,1
ISIC_0012840,0.27,1.92,0.2,0.6,2
ISIC_0013511,0.22,1.25,0.11,0.72,1
ISIC_0010042,0.12,1.19,0.13,0.68,1
ISIC_0013840,0.16,1.2,0.1,0.64,0
ISIC_0015980,0.13,7.48,0.22,0.7,1
ISIC_0012940,0.13,1.23,0.1,0.74,1
ISIC_0014440,0.27,1.54,0.11,0.73,1
ISIC_0012944,0.16,1.76,0.09,0.63,1
ISIC_0008807,0.16,2.26,0.13,0.69,1
ISIC_0014791,0.2,1.57,0.36,0.71,1
ISIC_0010234,0.11,1.25,0.43,0.68,1
ISIC_0012285,0.23,4.38,0.12,0.61,1
ISIC_0011385,0.3,1.34,0.29,0.72,1
ISIC_0004168,0.09,1.18,0.12,0.66,1
ISIC_0014181,0.17,1.26,0.1,0.74,0
ISIC_0007693,0.25,6.34,0.15,0.69,1
ISIC_0014753,0.23,18.34,0.2,0.7,1
ISIC_0010444,0.25,3.46,0.19,0.64,1
ISIC_0014572,0.18,1.74,0.16,0.63,2
ISIC_0009970,0.17,1.22,0.19,0.66,1
ISIC_0015102,0.1,16.89,0.15,0.74,1
ISIC_0009939,0.33,3.31,0.17,0.72,1
ISIC_0011117,0.13,1.18,0.08,0.72,1
ISIC_0000040,0.23,1.24,0.19,0.64,0
ISIC_0001275,0.21,1.31,0.15,0.74,1
ISIC_0000081,0.26,4.18,0.12,0.7,1
ISIC_0015189,0.15,1.85,0.21,0.62,0
ISIC_0012281,0.22,3.96,0.12,0.67,1
ISIC_0002780,0.11,1.2,0.12,0.66,1
ISIC_0013898,0.15,1.75,0.16,0.71,1
ISIC_0015243,0.2,1.89,0.26,0.79,0
ISIC_0014628,0.31,2.75,0.09,0.77,2
ISIC_0010374,0.18,2.32,0.19,0.71,1
ISIC_0016042,0.57,18.67,0.11,0.58,1
ISIC_0013896,0.16,1.93,0.17,0.76,1
ISIC_0002975,0.12,2.15,0.16,0.61,1
ISIC_0010055,0.2,1.31,0.19,0.64,1
ISIC_0008236,0.14,2.08,0.08,0.74,1
ISIC_0000489,0.35,4.75,0.17,0.73,1
ISIC_0014171,0.16,1.5,0.15,0.76,0
ISIC_0012877,0.12,1.21,0.07,0.61,1
ISIC_0012381,0.17,1.3,0.13,0.71,1
ISIC_0012442,0.09,1.67,0.19,0.63,1
ISIC_0012384,0.11,1.71,0.12,0.68,1
ISIC_0014337,0.33,2.44,0.09,0.71,0
ISIC_0012708,0.28,9.17,0.18,0.67,1
ISIC_0013086,0.08,1.64,0.2,0.64,1
ISIC_0000377,0.26,9.64,0.3,0.62,1
ISIC_0013208,0.22,1.85,0.06,0.59,1
ISIC_0015582,0.14,19.13,0.4,0.69,1
ISIC_0015331,0.32,100.45,0.35,0.63,1
ISIC_0014925,0.18,1.65,0.23,0.71,1
ISIC_0013429,0.12,1.85,0.13,0.58,0
ISIC_0000458,0.17,1.26,0.2,0.7,1
ISIC_0015482,0.25,54.12,0.21,0.62,1
ISIC_0009972,0.12,1.2,0.26,0.66,1
ISIC_0013365,0.08,1.63,0.08,0.61,0
ISIC_0013473,0.36,1.21,0.14,0.8,0
ISIC_0009877,0.15,3.42,0.21,0.66,1
ISIC_0014961,0.29,39.97,0.21,0.67,1
ISIC_0013808,0.16,9.17,0.18,0.69,1
ISIC_0014910,0.2,55.0,0.27,0.67,1
ISIC_0014535,0.12,1.56,0.05,0.66,2
ISIC_0010364,0.16,2.99,0.19,0.74,0
ISIC_0009915,0.07,1.2,0.23,0.68,1
ISIC_0010044,0.07,1.13,0.2,0.62,1
ISIC_0013192,0.19,1.58,0.19,0.63,1
ISIC_0012661,0.07,1.21,0.11,0.69,2
ISIC_0015310,0.21,56.04,0.27,0.66,1
ISIC_0014908,0.24,1.29,0.41,0.69,1
ISIC_0010498,0.07,1.14,0.35,0.62,1
ISIC_0011329,0.09,1.3,0.27,0.79,0
ISIC_0000218,0.1,1.26,0.4,0.71,1
ISIC_0003346,0.16,7.08,0.1,0.69,1
ISIC_0000368,0.1,1.29,0.27,0.68,1
ISIC_0000220,0.17,1.38,0.4,0.66,1
ISIC_0014169,0.11,1.19,0.1,0.6,2
ISIC_0000047,0.2,2.18,0.36,0.68,1
ISIC_0015051,0.44,71.95,0.28,0.64,1
ISIC_0012207,0.1,1.17,0.1,0.6,2
ISIC_0000209,0.15,1.25,0.29,0.66,1
ISIC_0000247,0.12,1.16,0.15,0.63,1
ISIC_0012191,0.08,1.23,0.2,0.7,1
ISIC_0010458,0.15,2.66,0.09,0.67,1
ISIC_0012670,0.21,5.62,0.07,0.58,1
ISIC_0015952,0.42,15.05,0.15,0.61,1
ISIC_0013321,0.44,1.26,0.25,0.77,0
ISIC_0014454,0.1,1.2,0.07,0.71,0
ISIC_0013417,0.11,1.52,0.15,0.69,1
ISIC_0000410,0.61,6.05,0.16,0.69,0
ISIC_0000103,0.12,1.27,0.34,0.65,1
ISIC_0013196,0.1,1.17,0.19,0.65,1
ISIC_0016036,0.16,1.22,0.07,0.69,1
ISIC_0011398,0.16,1.2,0.29,0.69,1
ISIC_0006711,0.07,1.17,0.29,0.68,1
ISIC_0000004,0.13,1.2,0.27,0.67,0
ISIC_0012147,0.35,26.68,0.16,0.58,1
ISIC_0000281,0.1,1.32,0.29,0.66,0
ISIC_0012118,0.15,1.72,0.19,0.67,1
ISIC_0012966,0.17,2.78,0.12,0.69,1
ISIC_0011353,0.13,2.55,0.21,0.68,1
ISIC_0012469,0.23,1.31,0.06,0.58,2
ISIC_0012434,0.08,1.59,0.16,0.69,0
ISIC_0000157,0.13,1.3,0.31,0.6,0
ISIC_0000463,0.1,1.2,0.31,0.67,0
ISIC_0011156,0.17,1.31,0.29,0.76,1
ISIC_0014554,0.22,1.77,0.06,0.66,2
ISIC_0001102,0.23,2.96,0.26,0.69,0
ISIC_0000301,0.28,1.26,0.17,0.8,0
ISIC_0014093,0.19,1.73,0.18,0.65,1
ISIC_0014270,0.1,1.17,0.08,0.66,0
ISIC_0012356,0.79,56.02,0.07,0.85,0
ISIC_0014815,0.25,47.79,0.29,0.68,1
ISIC_0000299,0.09,1.19,0.23,0.71,0
ISIC_0014581,0.17,1.39,0.17,0.78,2
ISIC_0012905,0.08,1.63,0.24,0.73,1
ISIC_0013708,0.53,1.32,0.11,0.86,2
ISIC_0013304,0.09,1.14,0.06,0.63,1
ISIC_0013341,0.17,1.18,0.22,0.63,2
ISIC_0000324,0.13,1.18,0.21,0.61,1
ISIC_0010475,0.26,4.06,0.12,0.66,1
ISIC_0014947,0.15,11.31,0.23,0.64,1
ISIC_0011155,0.18,1.33,0.2,0.69,1
ISIC_0000529,0.22,3.1,0.21,0.73,1
